---- Matrix A ----
|4||8||8||5||3||3||4||5||5|
|8||1||7||7||7||8||4||7||0|
|0||7||6||8||5||8||3||2||0|
|6||8||7||4||4||6||3||9||9|
|6||4||6||2||4||9||1||2||6|
|9||6||5||2||8||3||8||6||0|
|6||1||3||7||8||3||4||2||7|
|2||5||8||3||4||4||0||8||9|
|1||9||1||0||9||9||5||1||7|
---- Matrix B ----
|0||9||5||1||5||8||6||4||6|
|1||1||1||0||5||8||8||9||4|
|3||1||2||4||4||2||7||4||3|
|8||0||4||7||0||3||2||3||0|
|2||1||7||9||2||0||2||2||5|
|2||3||6||7||8||7||9||2||4|
|3||1||8||6||9||8||2||6||1|
|7||8||6||8||0||8||7||1||2|
|7||5||5||4||0||0||1||7||8|

---- RESULT ----
|166||133||190||203||158||220||235||211||161|
|169||171||254||284||187||251||262||151||158|
|138||61||170||215||160||188||216||157||110|
|216||211||255||266||181||276||297||246||226|
|123||142||186||189||163||185||225||166||179|
|125||165||243||232||207||269||242||192||165|
|163||130||218||228||123||152||151||163||165|
|188||156||188||219||107||173||223||181||180|
|119||103||214||215||189||193||208||205||189|
0.00982
